Campaign,Date Sent,Email abuse report rate,Email abuse reports,Email bounce rate,Email bounces,Email click rate,Email clicked,Email clicks per unique opens (MPP excluded),Email deliveries,Email delivery rate,Email open rate (MPP excluded),Email opened (MPP excluded),Email total clicks,Email total opens (MPP excluded),Email unsubscribe rate,Email unsubscribes,Emails sent
"Curbio Offer","2026-05-22 09:00:00","0%","0","0.31%","9","0.34%","10","0.72%","2,926","99.7%","47.2%","1,381","22","1,968","0.38%","11","2,935"
"Curbio Offer","2026-05-22 10:00:00","0%","0","0.07%","1","0.28%","4","0.37%","1,417","99.9%","77.2%","1,094","8","1,164","0%","0","1,418"
"Curbio Offer","2026-05-22 12:00:00","0%","0","0.19%","6","0.53%","17","0.99%","3,230","99.8%","53.0%","1,712","56","1,861","0.19%","6","3,236"
"Memorial Day","2026-05-25 10:29:13","0%","0","0%","0","2.3%","12","3.5%","524","100%","66.0%","346","14","388","0.57%","3","524"
"Memorial Day","2026-05-25 10:34:40","0%","0","0.09%","1","2.0%","22","3.5%","1,103","99.9%","56.7%","625","22","723","0.36%","4","1,104"
"Memorial Day","2026-05-25 10:36:51","0%","0","0.15%","3","0.20%","4","0.64%","1,998","99.9%","31.5%","629","13","745","0.65%","13","2,001"
"Memorial Day","2026-05-25 10:39:41","0.03%","1","0.07%","2","11.3%","329","21.7%","2,899","99.9%","52.3%","1,516","334","2,255","0.38%","11","2,901"
"Memorial Day","2026-05-25 10:41:55","0.07%","1","0%","0","8.1%","115","9.9%","1,414","100%","81.9%","1,158","119","1,371","0.35%","5","1,414"
"Memorial Day","2026-05-25 10:44:02","0.03%","1","0.10%","3","16.4%","478","25.1%","2,911","99.9%","65.3%","1,901","519","2,526","0.55%","16","2,914"
"Buyer Ready","2026-05-27 09:00:00","0%","0","0.19%","1","2.3%","12","4.3%","512","99.8%","54.9%","281","13","313","0.20%","1","513"
"Buyer Ready","2026-05-27 09:00:00","0%","0","0.09%","1","5.2%","57","10.4%","1,095","99.9%","49.9%","546","57","641","0.55%","6","1,096"
"Buyer Ready","2026-05-27 09:00:00","0%","0","0%","0","1.3%","26","6.5%","1,968","100%","20.4%","401","30","502","0.66%","13","1,968"
"Buyer Ready","2026-05-27 09:00:00","0%","0","0%","0","17.9%","478","30.6%","2,677","100%","58.3%","1,560","485","2,360","0.22%","6","2,677"
"Buyer Ready","2026-05-27 10:00:00","0%","0","0.14%","2","8.5%","119","10.9%","1,403","99.9%","77.5%","1,087","119","1,211","0.36%","5","1,405"
"Buyer Ready","2026-05-27 12:00:00","0%","0","0.07%","2","16.6%","478","28.5%","2,879","99.9%","58.2%","1,677","523","1,955","0.35%","10","2,881"
"Sellers Why","2026-05-30 17:00:00","0%","0","0.20%","1","5.1%","26","7.0%","507","99.8%","73.6%","373","26","443","0.20%","1","508"
"Sellers Why","2026-05-30 17:00:00","0%","0","0.09%","1","7.9%","84","10.7%","1,064","99.9%","73.8%","785","84","1,001","0.19%","2","1,065"
"Sellers Why","2026-05-30 17:00:00","0%","0","0.10%","2","1.7%","32","4.6%","1,914","99.9%","36.1%","691","69","910","0.68%","13","1,916"
"Sellers Why","2026-05-30 17:00:00","0%","0","0.12%","3","20.7%","530","26.8%","2,561","99.9%","77.2%","1,976","1,015","3,023","0.55%","14","2,564"
"Sellers Why","2026-05-30 18:00:00","0%","0","0.14%","2","8.6%","120","10.6%","1,391","99.9%","81.0%","1,127","214","1,388","0.07%","1","1,393"
"Sellers Why","2026-05-30 20:00:00","0%","0","0.14%","4","17.7%","505","25.0%","2,846","99.9%","71.0%","2,021","1,003","2,773","0.28%","8","2,850"
"Timeline Problems","2026-06-02 14:00:00","0.05%","1","0.05%","1","0.16%","3","0.48%","1,854","99.9%","33.9%","628","14","823","0.49%","9","1,855"
"Timeline Problems","2026-06-02 14:00:00","0.04%","1","0.04%","1","0.16%","4","0.23%","2,532","100.0%","68.0%","1,721","8","2,193","0.20%","5","2,533"
"Timeline Problems","2026-06-02 14:00:00","0%","0","0.40%","2","0%","0","0%","503","99.6%","57.3%","288","0","315","0.20%","1","505"
"Timeline Problems","2026-06-02 14:00:00","0%","0","0.10%","1","0.10%","1","0.19%","1,051","99.9%","49.7%","522","2","573","0.19%","2","1,052"
"Timeline Problems","2026-06-02 15:00:00","0%","0","0.07%","1","0%","0","0%","1,389","99.9%","75.8%","1,053","0","1,146","0.50%","7","1,390"
"Timeline Problems","2026-06-02 17:00:00","0%","0","0.14%","4","0.57%","16","0.89%","2,817","99.9%","64.1%","1,805","59","1,917","0.25%","7","2,821"
"[VIP] Cold","2026-06-04 10:00:00","0.03%","1","2.4%","83","0%","0","0%","3,434","97.6%","13.5%","463","0","536","0.26%","9","3,517"
"[VIP] Cold","2026-06-04 10:00:00","0%","0","1.4%","23","0.06%","1","0.61%","1,572","98.6%","10.4%","164","1","179","0.38%","6","1,595"
"[VIP] Cold","2026-06-04 10:00:00","0%","0","1.8%","2","0.91%","1","5.3%","110","98.2%","17.3%","19","1","25","0%","0","112"
"[VIP] Cold","2026-06-04 11:00:00","0%","0","3.5%","107","0.07%","2","0.69%","2,908","96.5%","9.9%","288","2","328","0.52%","15","3,015"
"[VIP] Cold","2026-06-04 13:00:00","0.04%","2","2.3%","122","0.02%","1","0.36%","5,208","97.7%","5.3%","274","1","317","0.48%","25","5,330"
"No means yes","2026-06-05 09:00:00","0%","0","0%","0","0.20%","1","0.33%","502","100%","59.8%","300","1","324","0.20%","1","502"
"No means yes","2026-06-05 09:00:00","0%","0","0%","0","0%","0","0%","1,213","100%","48.4%","587","0","625","0.49%","6","1,213"
"No means yes","2026-06-05 09:00:00","0%","0","0.11%","2","0.27%","5","1.0%","1,854","99.9%","26.0%","482","16","611","0.38%","7","1,856"
"No means yes","2026-06-05 09:00:00","0%","0","0.18%","5","0.32%","9","0.53%","2,792","99.8%","60.5%","1,690","79","2,087","0.32%","9","2,797"
"No means yes","2026-06-05 10:00:00","0%","0","0.24%","4","0%","0","0%","1,665","99.8%","65.3%","1,088","0","1,157","0.18%","3","1,669"
"No means yes","2026-06-05 12:00:00","0%","0","0.03%","1","0.45%","14","0.98%","3,077","100.0%","46.5%","1,431","102","1,562","0.55%","17","3,078"
"[VIP] Cold 2","2026-06-06 17:00:00","0.12%","1","2.2%","19","0%","0","0%","854","97.8%","11.5%","98","0","104","0.23%","2","873"
"[VIP] Cold 2","2026-06-06 17:00:00","1.8%","1","1.7%","1","0%","0","0%","57","98.3%","22.8%","13","0","19","3.5%","2","58"
"[VIP] Cold 2","2026-06-06 17:00:00","0%","0","1.4%","4","0%","0","0%","281","98.6%","23.8%","67","0","71","0.36%","1","285"
"[VIP] Cold 2","2026-06-06 17:00:00","0%","0","2.0%","40","0.05%","1","0.36%","1,949","98.0%","14.3%","279","1","323","0.21%","4","1,989"
"[VIP] Cold 2","2026-06-06 18:00:00","0.12%","2","3.4%","59","0.12%","2","1.3%","1,663","96.6%","9.3%","154","2","174","0.36%","6","1,722"
"[VIP] Cold 2","2026-06-06 20:00:00","0.10%","3","2.0%","60","0.10%","3","1.3%","2,951","98.0%","7.6%","223","3","267","0.75%","22","3,011"
"Projects","2026-06-09 09:00:00","0%","0","0%","0","0%","0","0%","554","100%","58.7%","325","0","341","0.18%","1","554"
"Projects","2026-06-09 09:00:00","0%","0","0.08%","1","0.85%","11","1.6%","1,298","99.9%","53.5%","695","15","754","0.39%","5","1,299"
"Projects","2026-06-09 09:00:00","0%","0","0.11%","2","0.44%","8","1.3%","1,808","99.9%","33.6%","607","18","772","0.44%","8","1,810"
"Projects","2026-06-09 09:00:00","0%","0","0.23%","7","0.46%","14","0.70%","3,037","99.8%","66.2%","2,009","50","2,414","0.20%","6","3,044"
"Projects","2026-06-09 10:00:00","0.05%","1","0.22%","4","0.27%","5","0.39%","1,831","99.8%","70.8%","1,297","5","1,364","0.55%","10","1,835"
